_id,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor
673cb4979cca20c871685b07,2007,215500,10.6,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,
673cb4979cca20c871685b08,2019,66179,11.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,
673cb4979cca20c871685b09,2017,86577,17.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage Active,,,,,,,,,,,,,,
673cb4979cca20c871685b0a,2014,0,14.9,Cuenca,Negociable,USED,Polaris,Buggy,Ranger XP 800,,,,,,,,,,,,,,
673cb4979cca20c871685b0b,2015,158000,29.99,Otavalo,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,
673cb4979cca20c871685b0c,2006,114000,16.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C280 4Matic,,,,,,,,,,,,,,
673cb4979cca20c871685b0d,2014,128000,14.99,Otavalo,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4 4x4,,,,,,,,,,,,,,
673cb4979cca20c871685b0e,2022,9000,24.9,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H2,,,,,,,,,,,,,,
673cb4979cca20c871685b0f,2022,25000,29.9,Quito,Negociable,USED,Jetour,Todoterreno,X70 COUPE,,,,,,,,,,,,,,
673cb4979cca20c871685b10,2018,44500,17.8,Quito,Negociable,USED,Haval,Todoterreno,H6,,,,,,,,,,,,,,
673cb4979cca20c871685b11,2009,236000,10.9,Ambato,Negociable,USED,Toyota,Sedán,Corolla 1.6,,,,,,,,,,,,,,
673cb4979cca20c871685b12,2010,134645,21.9,Quito,Negociable,USED,Lexus,Todoterreno,RX 450 Hibrido,,,,,,,,,,,,,,
673cb4979cca20c871685b13,2013,178791,13.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,
673cb4979cca20c871685b14,2009,217582,11.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.7,,,,,,,,,,,,,,
673cb4979cca20c871685b15,2018,75601,49.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 CS 4x4,,,,,,,,,,,,,,
673cb4979cca20c871685b16,2010,102234,18.9,Quito,Fijo,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,
673cb4979cca20c871685b17,2010,164726,16.9,Quito,Fijo,USED,Audi,Sedán,A4,,,,,,,,,,,,,,
673cb4979cca20c871685b18,2015,168669,14.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,
673cb4979cca20c871685b19,2021,37000,16.9,Quito,Negociable,USED,JAC,Todoterreno,S3,,,,,,,,,,,,,,
673cb4979cca20c871685b1a,2018,44844,26.9,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,
673cb4979cca20c871685b1b,2020,23004,12.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,
673cb4979cca20c871685b1c,2013,73307,43.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Tundra,,,,,,,,,,,,,,
673cb4979cca20c871685b1d,2011,131466,36.9,Quito,Negociable,USED,BMW,Todoterreno,X5 4.4i,,,,,,,,,,,,,,
673cb4979cca20c871685b1e,2006,202000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Optra,,,,,,,,,,,,,,
673cb4979cca20c871685b1f,2022,0,99.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,
673cb4979cca20c871685b20,2018,60000,21,Quito,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,
673cb4979cca20c871685b21,2019,41000,20.5,Quito,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,
673cb4979cca20c871685b22,2013,184416,13.9,Quito,Fijo,USED,Ford,SUV,Escape,,,,,,,,,,,,,,
673cb4979cca20c871685b23,2022,35791,26.8,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,
673cb4979cca20c871685b24,2014,172193,31.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,
673cb4979cca20c871685b25,2015,214499,24.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI 3.0 CD 4X4,,,,,,,,,,,,,,
673cb4979cca20c871685b26,2002,420000,4.2,Quito,Fijo,USED,Daewoo,Hatchback (5 Puertas),Matiz,,,,,,,,,,,,,,
673cb4979cca20c871685b27,2015,156000,59.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,#1723072,102234 Kms,Manuales,Manual,Gasolina,Calefacción,4 x 2,Rojo,4,Hidráulica,2700,Tela,Pichincha,
673cb4979cca20c871685b28,2019,72322,23.5,Quito,Negociable,USED,Mazda,Sedán,3,,,,,,,,,,,,,,
673cb4979cca20c871685b29,2020,47000,17.4,Quito,Negociable,USED,Toyota,Sedán,Yaris,,,,,,,,,,,,,,
673cb4979cca20c871685b2a,2013,97200,13.4,Quito,Negociable,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,
673cb4979cca20c871685b2b,2013,97200,13.4,Quito,Negociable,USED,Toyota,Hatchback (3 Puertas),Prius C Sport,,,,,,,,,,,,,,
673cb4979cca20c871685b2c,2018,81199,39.9,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,
673cb4979cca20c871685b2d,2013,110000,28.9,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,
673cb4979cca20c871685b2e,2009,89478,21.3,Cuenca,Negociable,USED,Toyota,Todoterreno,Highlander Limited Hibrido,,,,,,,,,,,,,,
673cb4979cca20c871685b2f,2021,31000,33.8,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,
673cb4979cca20c871685b30,2022,43000,31.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,
673cb4979cca20c871685b31,2009,89478,21.3,Cuenca,Negociable,USED,Toyota,Todoterreno,Highlander,,,,,,,,,,,,,,
673cb4979cca20c871685b32,2019,65000,50,Guayaquil,Fijo,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,
673cb4979cca20c871685b33,2008,75546,16.9,Quito,Negociable,USED,Peugeot,Coupé,407 Coupe,,,,,,,,,,,,,,
673cb4979cca20c871685b34,2006,58200,12.9,Quito,Negociable,USED,Peugeot,Convertible,207cc,,,,,,,,,,,,,,
673cb4979cca20c871685b35,2014,54800,34.79,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,
673cb4979cca20c871685b36,2012,103553,44.9,Cuenca,Negociable,USED,Jeep,Todoterreno,Wrangler Sport,,,,,,,,,,,,,,
